item_name,person_name,episode_number
Four Weddings and a Funeral,Alonso,138
Maria Full of Grace,Ify,137
Free Fire,Drea,137
Their Finest,Alonso,137
Romancing the Stone,Ann,137
Gurren Lagann,Ify,136
Waves,Drea,136
How to Survive a Plague,Alonso,136
The Great Mouse Detective,Kristen,136
Redline,Ify,135
Banana Split,Drea,135
Terrence McNally: Every Act of Life,Alonso,135
What a Way to Go!,Drea,134
The Masque of the Red Death,Alonso,134
2001: A Space Odyssey,Barry,134
Never Rarely Sometimes Always,Drea,133
Big Time Adolescence,Drea,133
Self Made,Joelle,133
Emma.,Lucé,133
Safe,Alonso,132
Saint Frances,Drea,132
Blood on Her Name,Joelle,132
The Fall,Moujan,132
Without You I’m Nothing,Alonso,131
Pump Up the Volume,Drea,131
Misery,Joelle,131
The Photograph,Alonso,130
Come to Daddy,Drea,130
Amadeus,Joelle,130
Visible,Inkoo,130
Mother,Inkoo,130
It Happened on 5th Avenue,Alonso,129
Olympic Dreams,Drea,129
Who Killed Malcolm X?,Joelle,129
The Farewell,Sarah,129
Horse Girl,Drea,128
Crooklyn,Alonso,128
Locke & Key,Joelle,128
Fast Five,Ify,127
All About My Mother,Alonso,127
A Beautiful Day in the Neighborhood,Drea,127
Klute,Ricky,127
Midsommar,Ify,126
Monty Python’s The Meaning of Life,Alonso,126
The Long Kiss Goodnight,Drea,126
Riot Girls,Jordan,126
My Year in Mensa,Ify,125
Weathering With You,Alonso,125
The Heiresses,Drea,125
Colewell,Benjamin,125
The Third Wife,Benjamin,125
Green Room,Ify,124
70s Sci-Fi on the Criterion Channel,Alonso,124
The Two Popes,Drea,124
Arrival,Ify,123
Shy People,Alonso,123
Atlantics,Drea,123
Bob Roberts,Todd,123
Back to the Beach,Alonso,122
200 Cigarettes,Casey,122
Little Women,Drea,122
Shazam!,Ify,121
The Lighthouse,Drea,121
Slaughterhouse-Five,Alonso,121
What Men Want,Ify,120
Colewell,Drea,120
It Happened on 5th Avenue,Alonso,120
Holiday Affair,Alonso,120
Remember The Night,Alonso,120
Jezebel,Joelle,120
The Crow,Ify,119
Portrait of a Lady on Fire,Drea,119
Season of Love,Alonso,119
In Fabric,Inkoo,119
Soul Food,Ify,118
McQueen,Drea,118
Feast of the Seven Fishes,Alonso,118
Charlie’s Angels (2000),Ify,117
"Good Night, and Good Luck",Drea,117
All About Eve,Alonso,117
"Now, Voyager",Alonso,117
Happiness,Artemis,117
Long Shot,Drea,116
Spirited Away,Alonso,116
Kwaidan,Matthew,116
Watchmen,Ify,115
Honey Boy,Drea,115
Man Made,Alonso,115
Booksmart,Cecil,115
The Shabbos Goy,Ify,114
Doctor Sleep,Ify,114
House on Haunted Hill,Drea,114
A Bread Factory,Alonso,114
Curtains,Ify,113
Greener Grass,Drea,113
Hair Wolf,Lucé,113
Spider Baby,Lucé,113
Parasite,Joelle,113
Dead Silence,Joelle,113
Tales from the Hood,Ify,112
Little Monsters,Drea,112
Sátántangó,Alonso,112
Arsenic and Old Lace,Ira,112
The Addams Family,Ify,111
The Dead Center,Drea,111
Dolemite Is My Name,Alonso,111
Candyman,Ify,110
The Death of Dick Long,Drea,110
Linda Ronstadt: The Sound of My Voice,Alonso,110
Margin Call,Louis,110
Wild Zero,Ify,109
Downton Abbey,Drea,109
Gosford Park,no,109
Where's My Roy Cohn?,Alonso,109
Funny People,Ify,108
Cargo,Drea,108
Mary Jane's Not a Virgin Anymore,Alonso,108
Radioactive,Joelle,108
Atomic Blonde,Ify,107
Rear Window,Drea,107
Untouchable,Alonso,107
The Big Easy,Amber,107
Speed Racer,Ify,106
Ms. Purple,Drea,106
Raise Hell: The Life & Times Of Molly Ivins,Alonso,106
The Man with the Iron Fists,Ify,105
Tigers Are Not Afraid,Drea,105
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",Danielle,105
The Angry Birds Movie 2,Ify,104
Smile,Alonso,104
Brittany Runs a Marathon,Drea,104
Manhunter,Ryan,104
Tales from the Darkside: The Movie,Ify,103
"Where'd You Go, Bernadette",Alonso,103
The Beguiled,Drea,103
Braid,Lucé,103
Luce,Jen,102
Vision Portraits,Alonso,102
Jupiter Ascending,William,102
The Nightingale,April,101
"Ishiro Honda: A Life in Film, from Godzilla to Kurosawa",Alonso,101
American Honey,Drea,101
Shin Godzilla,Ify,101
Godzilla (1998),Ify,101
The Roaring Twenties,Alonso,100
I Am Mother,Drea,100
The Strange Thing About the Johnsons,Ify,100
Jewel's Catch One,Alonso,99
Crawl,Drea,99
7 Beauties,Ben,99
Catwoman,Ify,99
Moonrise,Alonso,98
Sword of Trust,Drea,98
Faces Places,Steve,98
It's A Party,Ify,98
"Synecdoche, New York",Alonso,97
Maiden,Drea,97
The Farewell,Laura,97
Harlem Nights,Ify,97
Yellow Submarine,Alonso,96
Plus One,Drea,96
Annabelle Comes Home,Yolanda,96
Kissing Jessica Stein,Yolanda,96
Between the Lines,Alonso,95
Wild Rose,Drea,95
At the Heart of Gold: Inside the USA Gymnastics Scandal,Julia,95
Last Black Man in San Francisco,Drea,93
Can't Stop the Music,Alonso,93
Shin Godzilla,Ify,93
Paddington 2,Atsuko,93
We Have Always Lived in the Castle,Alonso,91
See You Yesterday,Drea,91
Cooley High,Dwayne,91
Charlie Says,Alonso,90
The Biggest Little Farm,Drea,90
Goodnight Mommy,Ify,90
The Burial of Kojo,Alonso,89
Under the Silver Lake,Brendan,89
Sightseers,April,89
Native Son,Brodie,89
Howards End,Alonso,88
Knock Down The House,Drea,88
Be Natural: The Untold Story of Alice Guy-Blaché,April,88
Sneakers,Ricky,88
The Night of the Hunter,Ricky,88
Mission: Impossible - Rogue Nation,Ricky,88
Interview with the Vampire,Impossible,88
Strangers on a Train,Impossible,88
Invasion of the Body Snatchers,Impossible,88
All About Eve,Impossible,88
John Wick: Chapter 2,Impossible,88
Some of My Best Friends Are...,Alonso,87
Band Aid,Drea,87
Long Weekend,April,87
"Zorro, The Gay Blade",Kevin,87
Wild Nights with Emily,Alonso,86
Hail Satan?,Drea,86
Smithereens,April,86
3 Faces,Alonso,85
Victoria,Drea,85
The Tin Drum,April,85
Diane,Brian,85
Diane,Alonso,84
District 9,Drea,84
Halt and Catch Fire,Janet,84
The Discreet Charm of the Bourgeoisie,April,83
The Invitation,Drea,83
Spider-Man: Into the Spider-Verse,Ricky,83
I Walked with a Zombie,April,82
Pan's Labyrinth,Drea,82
When Animals Dream,Mallory,82
Studio 54,Ricky,81
Charade,Alonso,81
Life After Beth,April,81
The Company of Wolves,Kristen,80
Gloria Bell,Alonso,80
Whoever Slew Auntie Roo?,April,80
Frank,Drea,80
Perfect Bid: The Contestant Who Knew Too Much,Ricky,79
To Dust,Alonso,79
Slumber Party Massacre,April,79
Abducted In Plain Sight,Emily,79
Our Latin Thing,Ricky,78
Happy Death Day 2U,Alonso,78
The Breaker Upperers,April,78
Spa Night,Inkoo,78
The Untouchables,Ricky,77
The Fabulous Allan Carr,Alonso,77
The Edge of Seventeen,Drea,77
Horror Noire,Ricky,76
Other People,Alonso,76
Wisconsin Death Trip,April,76
Keepers of the Magic,Ricky,75
The Kid Who Would Be King,Alonso,75
Serenity,Alonso,75
Everything Beautiful Is Far Away,Drea,75
The Day of the Jackal,April,75
Baskin,Ricky,74
Go Tell It on the Mountain,Alonso,74
Wild Tales,Jared,74
Picnic at Hanging Rock,April,74
42 to 1,Ricky,73
Fyre Fraud,Alonso,73
Hell or High Water,Graham,73
Out of the Past,April,73
Girlfight,Ricky,72
"Race, Sex & Cinema: The World of Marlon Riggs",Alonso,72
Tongues Untied,Alonso,72
The Guilty,Drea,72
Siesta,April,72
Girlfight,Ricky,72
"Race, Sex & Cinema: The World of Marlon Riggs",Alonso,72
Tongues Untied,Alonso,72
The Guilty,Drea,72
Siesta,April,72
Batman Returns,Ricky,71
Touch of Evil,Alonso,71
All About Nina,Drea,71
The Muppets Take Manhattan,Cristela,71
Grace Jones: Bloodlight and Bami,Ricky,70
Minding the Gap,Alonso,70
De Palma,Drea,70
Black Christmas,Ricky,69
The Annotated Christmas Carol: A Christmas Carol in Prose,Alonso,69
A Diva's Christmas Carol,April,69
Living on Soul,Ricky,68
Josie and the Pussycats,Alonso,68
Cold War,April,68
Frank,Jenny,68
Berry Gordy's The Last Dragon,Ricky,67
Mary Queen of Scots,Alonso,67
Happy as Lazzaro,April,67
Clara's Ghost,April,67
About Time,Holly,67
McCabe & Mrs. Miller,Ricky,66
Cola de Mono,Alonso,66
Volcano,April,66
Mississippi Grind,CJ,66
Mi Familia,Ricky,65
The Christmas Chronicles,Alonso,65
Cam,April,65
Shoplifters,Drea,65
Life,Ricky,64
The Other Side of the Wind,Alonso,64
They'll Love Me When I'm Dead,Alonso,64
Zama,April,64
Hip-Hop Evolution,Ricky,63
Shirkers,Alonso,63
Memories of Murder,April,63
El Ángel,Katie,63
Hereditary,Ricky,62
"Monrovia, Indiana",Alonso,62
Doubt,Jamie,62
Paddington,Caitlin,62
Paddington 2,Caitlin,62
The Tree of Life,Ricky,61
1985,Alonso,61
Border,Drea,61
Hunk,Betsy,61
Contact,Ricky,60
Can You Ever Forgive Me?,Alonso,60
The Picture of Dorian Gray,April,60
Evil Dead 2,Ricky,59
Whatever Happened to Baby Jane? (TV Movie),Alonso,59
The Oath,Drea,59
Colette,Louis,59
Mr. Soul!,Ricky,58
The Hate U Give,Alonso,58
What Keeps You Alive,April,58
Eighth Grade,Alison,58
Psychokinesis,Ricky,57
Tea With The Dames,Alonso,57
A Simple Favor,Inkoo,57
The Thing,Ricky,56
Life Itself,April,56
Mandy,April,56
Lizzie,Alonso,56
Chan Is Missing,Oliver,56
Old Boy,Ricky,55
Starting Over,Alonso,55
Let the Corpses Tan,April,55
Jacob's Ladder,Ricky,54
Lady Macbeth,Drea,54
Prêt-à-Porter,Alonso,54
Away We Go,Riley,54
Team America: World Police,Ricky,53
Support the Girls,Drea,53
In Bruges,Helen,53
"Crouching Tiger, Hidden Dragon",Ricky,52
Cop Land,Ricky,52
In the Mood for Love,Alonso,52
To All the Boys I've Loved Before,Jenny,52
Kareem: Minority of One,Ricky,51
Point Break,April,51
Crazy Rich Asians,Brandon,51
The Final Master,Baron,51
Spy,Ricky,50
Bunny Lake Is Missing,April,50
Skate Kitchen,Drea,50
Crazy Rich Asians,Inkoo,50
McQueen,Inkoo,50
The Equalizer 2,Ricky,49
Like Father,April,49
Space Station 76,Alonso,49
Fresh,Brandon,49
The Lost Boys,Ricky,47
Montenegro,April,47
Buddies,Alonso,47
Eighth Grade,Dave,47
Die Hard with a Vengeance,Ricky,46
Innocence,April,46
Paris Blues,Morgan,46
Love Jones,Morgan,46
Blindspotting ,Drea,46
Pain and Gain,Drea,46
Nights of Cabiria,Ricky,45
Eighth Grade,April,45
Hotel Transylvania 3: Summer Vacation,Alonso,45
"South Park: Bigger, Longer & Uncut",Ricky,44
Psycho Beach Party,Matt,44
West Side Story,April,44
Such Good Friends,Alonso,44
The Thing,Ricky,43
L7: Pretend We're Dead,Jordan,43
Leave No Trace,April,43
Three Identical Strangers,Alonso,43
Hulk,Ricky,42
Sin Nombre,Drea,42
Eyes of Fire,April,42
Tag,Alonso,42
Inside Man,Ricky,41
Kung Fu Hustle,Bowen,41
Disobedience,Matt,41
Starship Troopers,April,41
The New Age,Alonso,41
Jewel's Catch One,Ricky,40
The Girl With All The Gifts,Benjamin,40
Hereditary,April,40
Alex Strangelove,Alonso,40
Indiana Jones and the Last Crusade,Ricky,39
First Reformed,Inkoo,39
Come and See,April,39
Edward II,Alonso,39
The Explorers,Ricky,38
Mission: Impossible II,Freddie,38
The Tale,April,38
Not A Pretty Picture,April,38
Swiss Army Man,Drea,38
Panic Room,Ricky,37
Tully,LaToya,37
Sisters,April,37
Mahogany,Alonso,37
Wildcats,Ricky,36
Strictly Ballroom,Drea,36
Revenge,April,36
Andre The Giant,Ricky,35
Colossal,Drea,35
The 12th Man,April,35
RBG,Alonso,35
A Face In The Crowd,Ricky,34
Funny Girl,Drea,34
Tale of Tales,April,34
Western,Dave,34
The Endless,Ricky,33
Women Who Kill,Alonso,33
Mercury 13,April,33
Street Fighter II: The Animated Movie,Jungleguts,33
The Zen Diaries of Garry Shandling,Ricky,32
Lean on Pete,Alonso,32
Sweet Country,April,32
The Rider,Kang,32
Coming to America,Ricky,31
My Life as a Zucchini,Alonso,31
The Howling,April,31
Dredd,Dave,31
"Salò, or the 120 Days of Sodom",Dave,31
The Death of Stalin,Alonso,30
Nashville,Ricky,30
Unsane,April,30
Night of the Hunter,Allegra,30
The Strangers: Prey at Night,Renee,30
Take Me to the River,Alonso,29
Kiss Me,Grace,29
Killing of a Sacred Deer,Ricky,29
I Kill Giants,April,29
Ramen Heads,Alonso,28
No Light and No Land Anywhere,Drea,28
American Honey,Katie,28
After Hours,Maggie,28
Zoology,April,27
Prick Up Your Ears,Alonso,27
Oh Lucy!,Inkoo,27
The Gift,Ricky,27
Mohawk,April,26
All Monsters Attack,Alonso,26
Battle of the Sexes,Rhea,26
Only The Brave,Rhea,26
The Ritual,Ricky,26
Game Night,April,25
The Woman Who Left,Dave,25
One Dark Night,Wynter,25
"Parliament Funkadelic - The Mothership Connection (Live in Houston, TX, 1976)",Ricky,25
The Party,April,24
Double Lover,Alonso,24
The Crash Reel,Drea,24
Y Tu Mamá También,Ricky,24
The Dreamers,Ricky,24
Sex and Lucia,Ricky,24
The Changling,April,23
Revolver,April,23
Happy Hour,Alonso,23
Bram Stoker's Dracula,Ricky,23
Slaughterhouse-Five,April,22
Scream 3,Alonso,22
Prisoners,Ricky,22
Battle of the Sexes,Drea,21
Wendy and Lucy,April,21
Uncle Boonmee Who Can Recall His Past Lives,Alonso,21
The Last Of The Mohicans,Ricky,21
A Vampire in Brooklyn,Ira,20
Ganja and Hess,April,20
The Lair of the White Worm,Alonso,20
Gothic,Alonso,20
Jackie Brown,Ricky,20
Secrets & Lies,Louis,19
Crank 2: High Voltage,April,19
Paddington 2,Alonso,19
The Game,Ricky,19
Teeth,April,18
Five Came Back,Alonso,18
The X-Files: Fight the Future,Ricky,18
200 Cigarettes,April,17
The Dead,Alonso,17
Brawl In Cell Block 99,Ricky,17
Morvern Callar,April,16
Desk Set,Alonso,16
Nathan For You Season 4 Finale - Finding Frances,Jen,16
Score: A Film Music Documentary,Ricky,16
I Don't Feel at Home in This World Anymore,April,15
Guillermo del Toro's The Devil's Backbone,Alonso,15
My Happy Family,Alonso,15
Lady Bird,Drea,15
Nature Boy,Ricky,15
The Disaster Artist,April,13
Miss Stevens,Alonso,13
Gimme Danger,Ricky,13
Mudbound,April,12
Call Me By Your Name,Alonso,12
The Breakfast Club,Ricky,12
Fruitvale Station,Drea,12
The Divine Order,April,10
Lady Bird,Alonso,10
I Am Thor,Ricky,10
Strange Weather,April,9
A Bad Mom's Christmas,Alonso,9
Out of Sight,Ricky,9
BPM,April,7
The Killing of a Sacred Deer,Alonso,7
Spielberg,Ricky,7
Girl 27,Drea,6
Embers,Drea,6
Night of the Living Dead,April,6
Jane,April,6
Tamara Drewe,Alonso,6
Gerald's Game,Ricky,6
Better Watch Out,Alonso,5
Raw,April,5
Edge of Tomorrow,Ricky,5
The Raid 2,Alonso,4
The Protector,Drea,4
Ong-Bak: Muay Thai Warrior,Drea,4
Under the Shadow,Josie,4
A Girl Walks Home Alone at Night,Josie,4
Berlin Syndrome,Josie,4
Attack the Block,Ricky,4
Brad's Status,Alonso,3
The Third Man,April,3
They Live,Ricky,3
Strong Island,Alonso,2
How to Steal a Million,Drea,2
Dog Day Afternoon,Ricky,2
Marwencol,Alonso,1
Buster's Mal Heart,April,1
A Man Called Ove,Ricky,1
