title,date,number
Thanksgiving!,2017-11-23T00:00:00+00:00,12
"Who Shot Ya? Episode 11: Three Billboards outside Ebbing, Missouri",2017-11-17T00:00:00+00:00,11
Thor: Ragnarok,2017-11-10T00:00:00+00:00,10
Suburbicon,2017-11-03T00:00:00+00:00,9
Who Shot Ya? Episode 8: Halloween Spooktacular,2017-10-28T00:00:00+00:00,8
Professor Marston and the Wonder Women,2017-10-20T00:00:00+00:00,7
Blade Runner 2049,2017-10-13T00:00:00+00:00,6
American Made,2017-10-06T00:00:00+00:00,5
Kingsman: The Golden Circle with Josie Long and Shea Serrano,2017-09-29T00:00:00+00:00,4
mother!,2017-09-22T00:00:00+00:00,3
Ep 2: It,2017-09-16T00:00:00+00:00,2
Goon: Last of the Enforcers with Jason Jones,2017-09-09T00:00:00+00:00,1
